	cluster	avg_dist	std_dist	sum_dist	condition	duration	onset	run	type	image_path	category_nr	exemplar_nr	things_category_nr	things_image_nr	things_exemplar_nr	category_name
252	10.0	0.6161723727294933	0.1638695200873208	7.39406847275392	shown	2.98	214.56	4	fmri	images_fmri/mousse/mousse_01b.jpg	414	1	1031.0	14697.0	1.0	mousse
253	29.0	0.39269828699062304	0.20438579495400103	4.712379443887476	shown	2.98	219.03	4	fmri	images_fmri/bee/bee_01b.jpg	45	1	112.0	1695.0	1.0	bee
254	11.0	0.4857457922284025	0.19196788538727372	5.8289495067408295	shown	2.98	223.5	4	fmri	images_fmri/lock/lock_01b.jpg	375	1	941.0	13430.0	1.0	lock
255	3.0	0.449632372042013	0.17918796602530462	5.395588464504156	shown	2.98	227.97	4	fmri	images_fmri/missile/missile_01b.jpg	402	1	1007.0	14344.0	1.0	missile
256	6.0	0.418966250709379	0.1698673295865902	5.027595008512548	shown	2.98	232.44	4	fmri	images_fmri/radiator/radiator_01b.jpg	508	1	1273.0	18129.0	1.0	radiator
257	42.0	0.6318194265575849	0.09835307950190326	7.581833118691019	shown	2.98	236.91	4	fmri	images_fmri/pistachio/pistachio_01b.jpg	472	1	1189.0	16905.0	1.0	pistachio
258	0.0	0.60383376562992	0.07706169743579604	6.6421714219291195	shown	2.98	241.38	4	fmri	images_fmri/breadbox/breadbox_01b.jpg	83	1	196.0	2966.0	1.0	breadbox
259	20.0	0.5258172152514039	0.2485915717223576	6.309806583016847	shown	2.98	245.85	4	fmri	images_fmri/hula_hoop/hula_hoop_01b.jpg	325	1	811.0	11594.0	1.0	hula_hoop
260	30.0	0.6657714135533551	0.15416273401904693	7.989256962640262	shown	2.98	250.32	4	fmri	images_fmri/candy/candy_01b.jpg	112	1	256.0	3769.0	1.0	candy
261	46.0	0.4863892982401869	0.15802079767835445	5.8366715788822425	shown	2.98	254.79	4	fmri	images_fmri/ski_pole/ski_pole_01b.jpg	568	1	1456.0	20641.0	1.0	ski_pole
262	8.0	0.4728314749884115	0.16645075926343308	33.57103472417722	pos	4.0	0.0	4	fmri	images_fmri/sandpaper/sandpaper_01b.jpg	537	1	1357.0	19297.0	1.0	sandpaper
263	6.0	0.568179933654498	0.13907939156208182	40.34077528946936	pos	4.0	5.0	4	fmri	images_fmri/octopus/octopus_01b.jpg	428	1	1071.0	15224.0	1.0	octopus
264	7.0	0.6860828072385712	0.09588129385811706	48.71187931393855	neg	4.0	10.0	4	fmri	images_fmri/popcorn/popcorn_01b.jpg	486	1	1224.0	17411.0	1.0	popcorn
265	5.0	0.5605416085351339	0.14142863205329329	39.79845420599451	neg	4.0	15.0	4	fmri	images_fmri/tuxedo/tuxedo_01b.jpg	673	1	1739.0	24506.0	1.0	tuxedo
266	2.0	0.6237828543581344	0.12332715570624951	44.28858265942754	neg	4.0	20.0	4	fmri	images_fmri/mouse1/mouse1_01b.jpg	412	1	1027.0	14632.0	1.0	mouse1
